names,scores_ko4_all,logfoldchanges_ko4_all,pvals_ko4_all,pvals_adj_ko4_all,scores_ko2_all,logfoldchanges_ko2_all,pvals_ko2_all,pvals_adj_ko2_all,scores_ko_all,scores_ko4_1der,logfoldchanges_ko4_1der,pvals_ko4_1der,pvals_adj_ko4_1der,scores_ko2_1der,logfoldchanges_ko2_1der,pvals_ko2_1der,pvals_adj_ko2_1der,scores_ko_1der,pvals_min
Fgl2,0.1676619,0.3548091,0.8668492710208425,1.0,0.24470323,0.035511352,0.8066862290215427,1.0,0.41236514,0.33113807,1.29501,0.7405401834936479,1.0,0.5630692,1.2447826,0.5733877529589635,1.0,0.8942073,0.5733877529589635
Cxcr6,,,,,,,,,,0.117441185,0.104607515,0.9065104486938358,1.0,0.55289537,0.818072,0.5803350516803674,1.0,0.67033654,0.5803350516803674
Rab11fip2,,,,,,,,,,0.12342838,0.50258744,0.9017678825158414,1.0,0.5490363,0.45668733,0.5829805126373662,1.0,0.6724647,0.5829805126373662
Rasgrp4,-0.022426542,0.60995764,0.9821077084404575,1.0,0.4552826,1.0099591,0.6489059388179723,1.0,0.43285605,0.112835646,1.0853004,0.9101608552748784,1.0,0.5455281,1.6219654,0.5853903469329398,1.0,0.65836376,0.5853903469329398
Klrk1,0.25649518,0.76077485,0.7975685034998672,1.0,0.510701,1.0992712,0.6095604415662148,1.0,0.7671962,0.2574495,1.1344742,0.7968317944852389,1.0,0.5225493,1.598396,0.6012879432495261,1.0,0.7799988,0.6012879432495261
Diaph3,0.13267918,0.43193996,0.8944471084569321,1.0,0.4389305,0.6394792,0.6607118968985524,1.0,0.5716097,0.35808048,1.3647468,0.7202830889049008,1.0,0.52044433,1.0626127,0.6027539057791163,1.0,0.8785248,0.6027539057791163
F2rl1,0.12435316,0.13741992,0.9010356587076234,1.0,0.27535686,0.16320182,0.7830420883232667,1.0,0.39971003,0.5121357,1.8525728,0.6085560556206238,1.0,0.39607796,1.5421512,0.6920475084019428,1.0,0.9082136,0.6085560556206238
Ssbp2,0.05022471,0.15837736,0.95994332050315,1.0,0.45065564,0.75316167,0.6522377566624948,1.0,0.50088036,0.1063879,1.5018575,0.9152745951374995,1.0,0.49957043,1.8854808,0.6173775733161071,1.0,0.60595834,0.6173775733161071
Eid2,0.079097204,0.43783036,0.9369553074001734,1.0,0.48767135,1.7757735,0.6257826527579472,1.0,0.5667685,0.25975227,1.6815653,0.7950548714127235,1.0,0.37485325,1.9758693,0.7077696134872211,1.0,0.6346055,0.6257826527579472
Bcat1,0.09487636,0.3989593,0.9244130356566765,1.0,0.47557816,2.235141,0.6343749479514255,1.0,0.57045454,0.15244326,1.7529728,0.8788373359930789,1.0,0.48009983,3.441535,0.6311564116055661,1.0,0.6325431,0.6311564116055661
Clec2i,,,,,,,,,,0.103164025,0.3994656,0.9178327940983564,1.0,0.47097847,0.24740735,0.637656119853052,1.0,0.5741425,0.637656119853052
Ankrd39,,,,,,,,,,-0.011744118,0.24719113,0.9906297645401007,1.0,0.45817345,0.081383534,0.6468278291227292,1.0,0.44642934,0.6468278291227292
Dram2,,,,,,,,,,0.33021697,0.8996508,0.7412360176650838,1.0,0.44975373,0.71176946,0.6528880253899665,1.0,0.7799707,0.6528880253899665
Agk,0.10595534,0.71227384,0.9156177878816338,1.0,0.18881162,0.23577836,0.8502404626008957,1.0,0.29476696,0.15958184,1.4333868,0.8732104805305143,1.0,0.44799963,1.560127,0.6541534716680448,1.0,0.6075815,0.6541534716680448
Zfp628,,,,,,,,,,0.3956156,0.809281,0.6923886264082711,1.0,0.44045696,0.42469233,0.6596061876056607,1.0,0.83607256,0.6596061876056607
Slc9a1,-0.07614281,0.25590393,0.9393054820626302,1.0,0.43614382,0.3305634,0.6627323963512537,1.0,0.360001,-0.2196841,0.1483687,0.8261171888435271,1.0,0.26978207,0.2722554,0.7873279154808323,1.0,0.050097972,0.6627323963512537
