names,scores_ko4_all,logfoldchanges_ko4_all,pvals_ko4_all,pvals_adj_ko4_all,scores_ko2_all,logfoldchanges_ko2_all,pvals_ko2_all,pvals_adj_ko2_all,scores_ko_all,scores_ko4_1der,logfoldchanges_ko4_1der,pvals_ko4_1der,pvals_adj_ko4_1der,scores_ko2_1der,logfoldchanges_ko2_1der,pvals_ko2_1der,pvals_adj_ko2_1der,scores_ko_1der,pvals_max
Bet1,-0.4387208,-0.31513396,0.6608638507470526,0.9994004724072083,-0.17575464,-0.25107285,0.8604867054749319,1.0,-0.6144754,-0.48569983,-1.4485899,0.6271800042956164,1.0,-0.15390515,-0.3787452,0.8776845242401987,1.0,-0.639605,0.6271800042956164
H2-T23,,,,,,,,,,-0.4843818,-1.6342574,0.6281149436505844,1.0,-0.1453208,-1.6629169,0.8844575946216289,1.0,-0.62970257,0.6281149436505844
Slc16a3,-0.36824158,-4.4397597,0.7126931104447216,1.0,0.47320932,-0.12580629,0.6360638390110063,1.0,0.10496774,-0.2945832,-23.655909,0.7683122916640999,1.0,0.15819733,-1.0993813,0.8743013120491473,1.0,-0.13638587,0.6360638390110063
Ubxn11,,,,,,,,,,-0.28667495,-0.26444292,0.7743612325102246,1.0,-0.46968663,-1.254417,0.6385789216487084,1.0,-0.7563616,0.6385789216487084
Fam89a,-0.46512988,-1.0647427,0.6418384480533357,0.9965079171708816,-0.442321,-1.2901143,0.6582569393349986,1.0,-0.9074509,-0.3894825,-1.8404855,0.6969192567378387,1.0,-0.42676488,-2.0422068,0.6695505925836893,1.0,-0.81624734,0.6418384480533357
Igf1r,,,,,,,,,,-0.29194713,-1.1373676,0.7703270583965163,1.0,-0.43289655,-0.44681045,0.6650899233869019,1.0,-0.7248437,0.6650899233869019
Stap2,,,,,,,,,,-0.39343664,-5.0800076,0.6939970175236565,1.0,0.4206332,-0.098742,0.6740229496431924,1.0,0.027196556,0.6740229496431924
Itgb8,,,,,,,,,,-0.2800847,-0.43598056,0.7794125188011716,1.0,-0.40836984,-0.75704396,0.6830021742776367,1.0,-0.6884545,0.6830021742776367
Cd300c2,-0.4020782,-0.48506647,0.6876264694676606,1.0,-0.29220366,-0.6966019,0.7701309019188515,1.0,-0.6942819,-0.39277762,-22.312035,0.6944837429770858,1.0,-0.3096498,-2.7735538,0.7568272801445086,1.0,-0.7024274,0.6876264694676606
Adgrg6,,,,,,,,,,-0.39277762,-22.24673,0.6944837429770858,1.0,-0.21706145,-2.3147912,0.8281604599996825,1.0,-0.6098391,0.6944837429770858
Igsf6,-0.22200131,-0.32528603,0.8243128636712524,1.0,-0.1803879,-0.14237744,0.8568480588665971,1.0,-0.40238923,-0.39277762,-22.578629,0.6944837429770858,1.0,-0.3059708,-1.0142043,0.7596268830108003,1.0,-0.6987484,0.6944837429770858
Tmem38b,,,,,,,,,,-0.3894825,-2.4106054,0.6969192567378387,1.0,-0.034337405,-0.514545,0.9726080985741684,1.0,-0.4238199,0.6969192567378387
Prickle3,,,,,,,,,,-0.38816446,-1.8854734,0.6978943392602213,1.0,-0.042921755,-1.0650612,0.9657639070066445,1.0,-0.4310862,0.6978943392602213
Pde4d,,,,,,,,,,-0.38816446,-1.7747519,0.6978943392602213,1.0,0.11772824,-0.7423102,0.9062829889887516,1.0,-0.27043623,0.6978943392602213
H2-Q2,-0.36692113,-2.66737,0.7136778541113631,1.0,-0.38286096,-3.3560612,0.7018228693826276,1.0,-0.7497821,-0.2945832,-22.482212,0.7683122916640999,1.0,-0.30167863,-22.482212,0.7628970692294649,1.0,-0.59626186,0.7018228693826276
Sdc1,,,,,,,,,,-0.09687636,-2.6193612,0.9228245849841161,1.0,0.35441107,-0.7853541,0.7230308470959861,1.0,0.2575347,0.7230308470959861
Pyroxd1,-0.35355154,-0.8058164,0.7236750056414032,1.0,-0.26687524,-0.8231986,0.7895652225291628,1.0,-0.6204268,-0.09424026,-1.5179691,0.9249182998438803,1.0,-0.022074046,-1.1909959,0.9823888903117426,1.0,-0.11631431,0.7236750056414032
B4gat1,-0.27795553,-0.48625368,0.7810464857253132,1.0,-0.16988586,-0.5404228,0.8650999034584541,1.0,-0.4478414,-0.29194713,-1.5394423,0.7703270583965163,1.0,-0.313942,-1.6915319,0.7535651078468493,1.0,-0.6058891,0.7535651078468493
Tnip3,,,,,,,,,,-0.29853734,-1.6817899,0.7652930779719689,1.0,-0.2428145,-1.1707754,0.8081491039525783,1.0,-0.54135185,0.7652930779719689
Clybl,,,,,,,,,,-0.2945832,-4.2639494,0.7683122916640999,1.0,-0.024526717,-0.0019226796,0.9804324730724251,1.0,-0.31910992,0.7683122916640999
Cox10,,,,,,,,,,-0.2945832,-21.464188,0.7683122916640999,1.0,-0.11527557,-1.2627876,0.9082267018141145,1.0,-0.40985876,0.7683122916640999
Spint1,,,,,,,,,,-0.2945832,-23.031397,0.7683122916640999,1.0,-0.025753053,-1.7975655,0.9794543078501613,1.0,-0.32033625,0.7683122916640999
Syt13,,,,,,,,,,-0.2945832,-21.774368,0.7683122916640999,1.0,-0.11527557,-0.91321814,0.9082267018141145,1.0,-0.40985876,0.7683122916640999
Akap1,,,,,,,,,,-0.29326516,-3.014724,0.7693194803349284,1.0,0.24097499,-1.1480244,0.8095744973251208,1.0,-0.05229017,0.7693194803349284
Flad1,,,,,,,,,,-0.29194713,-2.4227066,0.7703270583965163,1.0,0.043534923,-1.2296259,0.9652751266972964,1.0,-0.2484122,0.7703270583965163
Isg20,,,,,,,,,,-0.28799298,-1.1833905,0.7733521129106116,1.0,-0.1299916,-1.2286278,0.8965730726317539,1.0,-0.4179846,0.7733521129106116
Slc10a3,,,,,,,,,,-0.28667495,-0.98868424,0.7743612325102246,1.0,-0.14961298,-0.9436043,0.8810699720752079,1.0,-0.43628794,0.7743612325102246
Tefm,,,,,,,,,,-0.28667495,-1.1392041,0.7743612325102246,1.0,-0.13612328,-1.628982,0.8917238247464014,1.0,-0.42279822,0.7743612325102246
